uuid,freq,date,source_name,source_filename,adm3_pcode,disease_icd10_code,disease_common_name,case_total
DPSRT000096,W,2008-03-31,PIDSR-DOH,City-weekly_2008-2022,PH097332000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000097,W,2008-03-31,PIDSR-DOH,City-weekly_2008-2022,PH104305000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000098,W,2008-03-31,PIDSR-DOH,City-weekly_2008-2022,PH112402000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT000099,W,2008-03-31,PIDSR-DOH,City-weekly_2008-2022,PH137401000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00009A,W,2008-03-31,PIDSR-DOH,City-weekly_2008-2022,PH137603000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00009B,W,2008-03-31,PIDSR-DOH,City-weekly_2008-2022,PH137503000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00009C,W,2008-04-07,PIDSR-DOH,City-weekly_2008-2022,PH015518000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00009D,W,2008-04-07,PIDSR-DOH,City-weekly_2008-2022,PH034919000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00009E,W,2008-04-07,PIDSR-DOH,City-weekly_2008-2022,PH050506000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00009F,W,2008-04-07,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000A0,W,2008-04-07,PIDSR-DOH,City-weekly_2008-2022,PH072230000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000A1,W,2008-04-07,PIDSR-DOH,City-weekly_2008-2022,PH083747000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000A2,W,2008-04-07,PIDSR-DOH,City-weekly_2008-2022,PH097332000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000A3,W,2008-04-07,PIDSR-DOH,City-weekly_2008-2022,PH104305000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000A4,W,2008-04-07,PIDSR-DOH,City-weekly_2008-2022,PH112402000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000A5,W,2008-04-07,PIDSR-DOH,City-weekly_2008-2022,PH137401000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000A6,W,2008-04-07,PIDSR-DOH,City-weekly_2008-2022,PH137603000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000A7,W,2008-04-07,PIDSR-DOH,City-weekly_2008-2022,PH137503000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000A8,W,2008-04-14,PIDSR-DOH,City-weekly_2008-2022,PH015518000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000A9,W,2008-04-14,PIDSR-DOH,City-weekly_2008-2022,PH034919000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000AA,W,2008-04-14,PIDSR-DOH,City-weekly_2008-2022,PH050506000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000AB,W,2008-04-14,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000AC,W,2008-04-14,PIDSR-DOH,City-weekly_2008-2022,PH072230000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000AD,W,2008-04-14,PIDSR-DOH,City-weekly_2008-2022,PH083747000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000AE,W,2008-04-14,PIDSR-DOH,City-weekly_2008-2022,PH097332000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000AF,W,2008-04-14,PIDSR-DOH,City-weekly_2008-2022,PH104305000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000B0,W,2008-04-14,PIDSR-DOH,City-weekly_2008-2022,PH112402000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000B1,W,2008-04-14,PIDSR-DOH,City-weekly_2008-2022,PH137401000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000B2,W,2008-04-14,PIDSR-DOH,City-weekly_2008-2022,PH137603000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000B3,W,2008-04-14,PIDSR-DOH,City-weekly_2008-2022,PH137503000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000B4,W,2008-04-21,PIDSR-DOH,City-weekly_2008-2022,PH015518000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000B5,W,2008-04-21,PIDSR-DOH,City-weekly_2008-2022,PH034919000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000B6,W,2008-04-21,PIDSR-DOH,City-weekly_2008-2022,PH050506000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000B7,W,2008-04-21,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000B8,W,2008-04-21,PIDSR-DOH,City-weekly_2008-2022,PH072230000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000B9,W,2008-04-21,PIDSR-DOH,City-weekly_2008-2022,PH083747000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0000BA,W,2008-04-21,PIDSR-DOH,City-weekly_2008-2022,PH097332000,A09.0,ACUTE BLOODY DIARRHEA,0
